timestamp,scenario,preset,algorithm,success,distance,risk_score,crowd_score,total_cost,time_ms,nodes_expanded,train_steps,reached_exit,exit_access_score,delta_distance_vs_dijkstra,delta_risk_vs_dijkstra,risk_reduction_pct,crowd_reduction_pct,alpha,beta,gamma,delta,epsilon,heuristic_weight
2026-05-18T04:20:58.871933+00:00,S1 Normal layout,Default,dijkstra,True,23,0.0,0.0,23.0,0.786,423,,"[10, 26]",8.433,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:20:58.872011+00:00,S1 Normal layout,Default,astar,True,23,0.0,0.0,23.0,0.088,24,,"[10, 26]",8.433,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:20:58.872017+00:00,S1 Normal layout,Default,weighted_astar,True,23,0.0,0.0,23.0,0.114,24,,"[10, 26]",8.433,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:20:58.872020+00:00,S1 Normal layout,Default,qlearning,True,23,0.0,0.0,23.0,130.303,24,64980,"[10, 26]",8.433,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:20:59.001188+00:00,S1 Normal layout,Distance-heavy,dijkstra,True,23,0.0,0.0,69.0,0.704,423,,"[10, 26]",8.433,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:20:59.001194+00:00,S1 Normal layout,Distance-heavy,astar,True,23,0.0,0.0,69.0,0.081,24,,"[10, 26]",8.433,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:20:59.001196+00:00,S1 Normal layout,Distance-heavy,weighted_astar,True,23,0.0,0.0,69.0,0.996,319,,"[10, 26]",8.433,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:20:59.001198+00:00,S1 Normal layout,Distance-heavy,qlearning,True,23,0.0,0.0,69.0,127.232,24,64596,"[10, 26]",8.433,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:20:59.129600+00:00,S1 Normal layout,Safety-heavy,dijkstra,True,23,0.0,0.0,23.0,0.676,423,,"[10, 26]",8.433,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:20:59.129607+00:00,S1 Normal layout,Safety-heavy,astar,True,23,0.0,0.0,23.0,0.078,24,,"[10, 26]",8.433,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:20:59.129609+00:00,S1 Normal layout,Safety-heavy,weighted_astar,True,23,0.0,0.0,23.0,0.109,24,,"[10, 26]",8.433,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:20:59.129611+00:00,S1 Normal layout,Safety-heavy,qlearning,True,23,0.0,0.0,23.0,127.41,24,64545,"[10, 26]",8.433,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:20:59.301166+00:00,S2 Risk zone on shortest path,Default,dijkstra,True,23,18.0,0.0,113.0,0.71,431,,"[10, 26]",8.433,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:20:59.301175+00:00,S2 Risk zone on shortest path,Default,astar,True,23,18.0,0.0,113.0,0.079,24,,"[10, 26]",8.433,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:20:59.301178+00:00,S2 Risk zone on shortest path,Default,weighted_astar,True,31,0.0,0.0,31.0,0.465,135,,"[10, 26]",12.967,8,-18.0,100.0,0.0,1,3,5,10,2,1
2026-05-18T04:20:59.301180+00:00,S2 Risk zone on shortest path,Default,qlearning,True,31,0.0,0.0,31.0,170.161,32,84448,"[10, 26]",12.967,8,-18.0,100.0,0.0,1,3,5,10,2,1
2026-05-18T04:20:59.471580+00:00,S2 Risk zone on shortest path,Distance-heavy,dijkstra,True,23,18.0,0.0,105.0,0.663,431,,"[10, 26]",8.433,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:20:59.471587+00:00,S2 Risk zone on shortest path,Distance-heavy,astar,True,23,18.0,0.0,105.0,0.079,24,,"[10, 26]",8.433,0,0.0,0.0,0.0,3,1,2,10,1,1
